,team,sketch_title,writer,link,writer_clean
1068,Legs_for_Days,Cute,Written by Jason Flowers,https://www.youtube.com/watch?v=CtTNSZKBVYY,Jason Flowers
1069,Legs_for_Days,Dan Gets Laid,Written by Jared Neumark,https://www.youtube.com/watch?v=PTdZjBZ60fw,Jared Neumark
1070,Legs_for_Days,Daredevil,Written by Hunter Nelson,https://www.youtube.com/watch?v=IgIW7z2arTk,Hunter Nelson
1071,Legs_for_Days,Don't Get Excited,Written by Karin Hammerberg,https://www.youtube.com/watch?v=hnilO-anSkI,Karin Hammerberg
1072,Legs_for_Days,Don't Think I Could Live Here,Written by Peter Sherer,https://www.youtube.com/watch?v=GdfboaHMjhA,Peter Sherer
1073,Legs_for_Days,Dr. Higgenbottom,Written by Hunter Nelson,https://www.youtube.com/watch?v=cNRWzdK5Qyo,Hunter Nelson
1074,Legs_for_Days,Drum Major Lost Parade,Written by Matthew Starr,https://www.youtube.com/watch?v=vXQaBAioVqs,Matthew Starr
1075,Legs_for_Days,Eat the Weed,Written by Susan Casey and Katie Simon,https://www.youtube.com/watch?v=X6RNJe_v5ek,Susan Casey and Katie Simon
1076,Legs_for_Days,Egg,Written by Susan Casey,https://www.youtube.com/watch?v=ZALUNZxfh7E,Susan Casey
1077,Legs_for_Days,Extandra,Written by Hunter Nelson,https://www.youtube.com/watch?v=3mc1q1emIdI,Hunter Nelson
1078,Legs_for_Days,Fantasy Football,Written by Karin Hammerberg,https://www.youtube.com/watch?v=9_0RFkrsSYc,Karin Hammerberg
1079,Legs_for_Days,Favorite Number,Written by Jason Flowers,https://www.youtube.com/watch?v=fb9ebXeuQpY,Jason Flowers
1080,Legs_for_Days,Fielder and Fielder,Written by Hunter Nelson,https://www.youtube.com/watch?v=8AaQ2sVexDM,Hunter Nelson
1081,Legs_for_Days,Firework Demos,Written by Hunter Nelson,https://www.youtube.com/watch?v=GipkzeaCRQM,Hunter Nelson
1082,Legs_for_Days,Fun Evidence,Written by Hunter Nelson,https://www.youtube.com/watch?v=NftrsYudzbA,Hunter Nelson
1083,Legs_for_Days,Geraldine Temple,Written by Karin Hammerberg,https://www.youtube.com/watch?v=7-tlM4EYYOg,Karin Hammerberg
